,professor_name,processed_comments
0,Leslie  Looney,this class is hard but its a twoinone gened knockout and the content is very stimulating unlike most classes you have to actually participate to pass sections are easy and offer extra credit every week very funny dude not much more i can say
1,Leslie  Looney,definitely going to choose prof class again interesting class and easy a you can bring notes to exams so you need to remember a lot lots of bonus points available and the observatory sessions are awesome
2,Leslie  Looney,i overall enjoyed this class because the assignments were straightforward and interesting i just enjoy the video project because i felt like no one in my group cared enough to help
3,Leslie  Looney,yes possible to get an a but definitely have to work for it the content is pretty interesting but you have tog get super organized in this class have multiple things due every week and a ton lectures to go over if possible avoid this class as an week course definitely always have somethingto do in this class
4,Leslie  Looney,professor looney has great knowledge in astronomy while he can explain them in a super easy way in an elementary class he taught this class with great passion and great illustration this class is definitely fun to take if you are interested in further knowledge that this class cover hesitate to ask him great teacher
5,Leslie  Looney,looney is a super funny guy and this class was really interesting it a complete blow off but it too bad just do all the sessions and study a bit the night before exams and you should pull an a i would definitely recommend him for a science gen ed there was no text book and no final
6,Leslie  Looney,professor looney is the bomb he is a truly good teacher and really explains material thoroughly he is also absolutely hilarious and makes me laugh every class i would highly recommend him and this course to anyone i am far from a sciencelover but this class has helped me enjoy i repeat enjoy science
7,Leslie  Looney,professor leslie looney is honestly amazing i would call this my first positive experience with a science class in addition to being truly good at teaching he makes class interesting i literally lol almost every period looney forever
8,Leslie  Looney,looney is a beast best prof on campus and this class is extremely interesting it is the easiest astronomy and physical science class you will find
9,Leslie  Looney,the homework exams and lab could trip you up if expecting a blowoff class but otherwise its great looney is very enthusiastic and the course is full of interesting content
10,Leslie  Looney,he is one of the most enthusiastic and off the walls professors ever meet his grading is very fair the exams bad considering you can use a notes sheet lots of iclickers so you have to show up to class no book used take this class its fun and interesting
11,Leslie  Looney,sexy boy killer skies was one of the best classes taken looney kept me excited for class and did presentations effectively and with great humor highly recommend him in general online quizzes were tough but given multiple chances exams are somewhat hard so study never a dry moment great guy great topics gonna have fun ciao
12,Leslie  Looney,excellent professor hilarious fun and good
13,Leslie  Looney,loved his killer skies class very funny and allows you to bring in a sheet of notes for each test and even the final theres no textbook but you have to use his ppt slides alot for the hw and cheat sheets the hw is quite hard tho even with the ppt slides given to you but you get unlimited number of tries and the highest score is taken
14,Leslie  Looney,a kind knowledgeable phenomenal teacher i would recommend any of his classes he is hilarious engaging and intelligent this class was so far from my major and yet i enjoyed class everyday study its astronomy but looney is fantastic
15,Leslie  Looney,i hnonestly can say that leslie looney is the only reason i go to class that and the iclicker credit i say that actually learned anything in this class though looney is fairly entertaining
16,Leslie  Looney,he is absolutely amazing a complete riot and wonderful professor class is never boring and something new is taught daily online homework is a breeze and tests horrible studying is necessary for them though
17,Leslie  Looney,he is amazing the funnest class i have had all semester knows his material and is always willing to help
18,Leslie  Looney,best professor had so far he is informative clear and funny makes you actually wanna go to class gotta do homework regularly and study for the testthey bad if you do
